wave	name_CW	packet_name_1	packet_name_2	name_TGRC	name_CC	name_EA	name_PI	name_TS	name_BGV	name_FLA	name_LYC	name_TR	name_other	name_original_alonge	name_original_razifard	part_of_razifard	part_of_alonge	species	alonge_species	Taxon	SV Count	SV Collector Rank	SRA ID	Yield (bp)	Assigned_population	Country	Province	Collecting_locality	Local_name	Notes_from_original_collections	Latitude	Longitude	fresh_weight_(g)	dry_weight_(%)	locule_number_(count)	pericarp_thickness_(mm)	soluble_solids_(Brix)	beta-carotene_(mg/g_tissue)	lycopene_(mg/g_tissue)	citric_acid_(mg/g_tissue)	malic_acid_(mg/g_tissue)	glucose_(mg/g_tissue)	fructose_(mg/g_tissue)	alpha-tomatine_(mg/g_tissue)	dehydrotomatine_(mg/g_tissue)
6	CW0097	LA4776		LA4776					BGV013175						BGV013175	TRUE	FALSE	lycopersicum							SLC MEX-CA-NSA	COL	Cauca	Villa Hermosa;Cauca	unknown	Roadside flower garden on S side of highway Cali - Buenaventura. 1971	unknown	unknown	3.779583333	10.75513539	2.1375000000000002	1.0056666670000001	5.35	3.2749759369999998	19.186101430000001	7.1529411769999998	0.32237623799999998	13.98583732	16.430792459999999	1.370212E-3	1.6337050000000001E-3
6	CW0098	BGV006767	LA4683	LA4683					BGV006767					BGV006767	BGV006767	TRUE	TRUE	lycopersicum	SLC	S. lycopersicum var. cerasiforme	23379	5	Pending	Pending	unassigned	ECU	Napo	Santa Inés;Napo	Tomatillo	wild	-0.95722222199999996	-77.815833330000004	5.390719697	9.580575744	2.2250000000000001	1.3383030300000001	7.2	1.4496781439999999	36.275206949999998	6.9647058819999996	0.29702970299999998	22.708771930000001	24.32	NA	NA
6	CW0099	LA4768		LA4768					BGV012613						BGV012613	TRUE	FALSE	lycopersicum							unassigned	PER	Ayacucho	Ayacucho	unknown	LA1311. Scattered weed in waste places near puebla. Collection Notes: The following notes apply to all LA1311 subunits. SAL395. 10/28/70. L. esculentum var. SLC. Santa Rosa Puebla. 12.1 miles South of San Francisco, at end of road, puebla of +/- 1000 people. On west side of road, behind dwellings, in waste places. Most abundant plant scrambling over ground, up walls, etc. #1-15 in a single population of +/- 50 plants, all in flower and ripe fruit. Fantastic array of types, hence individual notes and B/Wh photos. Suspect largely selfing, thus several may be repeats. Progeny tests should be interesting. Variation seen in leaf shape, hairiness (0, 1/2, + types), flower size, leaf color, fruit size, locule number (2-fasc.), shape,(spherical, oblate, slightly elongate). In separate groups to the west and higher ground collected several additional types that included plum and extra fasc. Types. Several plants said to be over 1 year old, another plant at least 3 x 4 meters dimension, extremely vigorous and productive. No pests, no pollinators seen. [Seed from 19 plants.] SAL395-1 moderately divided, hairs present, flowers [stigmas exserted] 0.5, 2 locules, cherry shape. 	-12.616667	73.791667000000004	4.7025	8.167508168	2.4750000000000001	1.0946388890000001	6.35	2.5492606769999999	28.103065950000001	7.2355235530000002	0.60993433399999997	13.98930481	19.366037739999999	1.382748E-3	2.5987999999999999E-4
6	CW0100	TR00018						TS-730				TR00018		TR00018		FALSE	TRUE	lycopersicum	SLL	S. lycopersicum vintage	2547	20	Pending	Pending																					
6	CW0101	LA4741		LA4741					BGV007900						BGV007900	TRUE	FALSE	lycopersicum							SLC MEX	MEX	Puebla	Huauchinango; Puebla	Tomate	Huanchinango market, primitive cultivar	20.166666670000001	-98.05	35.84416667	6.674843205	9.5416666669999994	2.0783030299999998	6	3.029887725	31.31837204	6.1798165139999996	0.29230769200000001	15.44727273	19.65283019	3.2449391000000001E-2	3.1381880000000001E-3
6	CW0102	LA4740		LA4740					BGV007899						BGV007899	TRUE	FALSE	lycopersicum							SLC MEX	MEX	Puebla	Huauchinango; Puebla	Tomate riñón	Huanchinango market,kidney tomato	20.166666670000001	-98.05	30.24908333	7.688210685	7.9749999999999996	2.3875666670000002	5.6	1.858014549	23.589018150000001	4.266666667	0.18613861400000001	16.492307690000001	17.893877549999999	5.3827511000000001E-2	1.0592849999999999E-2
6	CW0103	PI487625					PI487625							PI487625	PI487625	TRUE	TRUE	lycopersicum	SLC	S. lycopersicum var. cerasiforme	10763	26	SRR10343558	109329334777	SLC ECU	CRI			unknown	SP en ARS GRIN. Area with more than 400cm rainfall annually. 1984.	unknown	unknown	18.71083333	6.368274742	3.15	3.2080000000000002	4.4000000000000004	2.1098753810000002	22.952179959999999	3.0307692309999998	0.16	12.44444444	14.88	4.8096839999999998E-3	1.2899490000000001E-3
6	CW0104	BGV006232	LA4670	LA4670					BGV006232					BGV006232	BGV006232	TRUE	TRUE	lycopersicum	SLC	S. lycopersicum var. cerasiforme	12946	50	SRR10343556	62239504024	SLC ECU	ECU	Morona Santiago	Logroño.Méndez;Morona Santiago	Tomate riñón	kidney tomate, primitive cultivar	-2.6124999999999998	-78.222499999999997	8.169166667	6.965427849	2	1.929	5	1.716667307	26.978000890000001	5.4186759850000001	0.27691098600000003	14.59337232	17.720754719999999	2.5662240000000002E-3	5.2825099999999998E-4
6	CW0105	EA01088				EA01088		TS-691						EA01088		FALSE	TRUE	lycopersicum	SLL	S. lycopersicum vintage	3500	29	Pending	Pending																					
6	CW0106	BGV007981	LA4757	LA4757					BGV007981					BGV007981	BGV007981	TRUE	TRUE	lycopersicum	SLC	S. lycopersicum var. cerasiforme	7567	20	Pending	Pending	SLC PER	PER	Ucayali	La Divisoria;;Ucayali	Tomate	no info	-9.0333333329999999	-74.483333329999994	6.843333333	8.624589838	3.26	2.0940666669999999	4.45	2.3451994809999999	25.922258549999999	3.747712419	0.17907925399999999	9.7978021989999995	13.99013062	1.1088669000000001E-2	2.2585819999999999E-3
6	CW0107	LA4750		LA4750					BGV007921						BGV007921	TRUE	FALSE	lycopersicum							SLC MEX	MEX	Querétaro	Ahuacatlán de Guadalupe;Querétaro	Tomate	wild, wild, >1 cm, espontaneous, to make sauce	21.2	-99.533333330000005	2.503229167	10.94409728	2.0125000000000002	0.70197222199999998	7.15	3.291895212	40.742078530000001	9.2983630149999996	0.17392064099999999	20.987584349999999	23.03646724	2.2182299999999999E-3	5.2477700000000003E-4
6	CW0108	BGV006852	LA4692	LA4692					BGV006852					BGV006852	BGV006852	TRUE	TRUE	lycopersicum	SLC	S. lycopersicum var. cerasiforme	14453	66	SRR10343555	51268322867	SLC ECU	ECU	Pastaza	Simón Bolívar, a 3 Km dirección N;Pastaza	unknown	farmland, growing wild	-1.700277778	-77.842500000000001	23.64791667	6.806157913	4.6784476780000004	2.3355000000000001	4.8	1.3992311909999999	22.407268120000001	5.6350223259999996	0.220294567	12.78215385	14.05749778	1.1225090000000001E-3	4.4320299999999998E-4
6	CW0109	LA4786		LA4786					BGV015726						BGV015726	TRUE	FALSE	lycopersicum							SLC San Martin	PER	San Martín	Bello Horizonte.Tarapotó.San Martín;San Martín	unknown	backyard, adventitious plant	-6.5261111109999996	-76.301111109999994	14.92791667	8.674010379	3.3937499999999998	2.491333333	4.9000000000000004	1.3367404169999999	25.407827990000001	6.5584158419999996	0.25384615399999999	12.07272727	14.128301889999999	2.7635393000000001E-2	3.2313049999999999E-3
6	CW0110	LA3465		LA3465									Walter	Walter		FALSE	TRUE	lycopersicum	SLL	S. lycopersicum fresh	3492	N/A	SRR10199003	90175664116																					
6	CW0111	BGV006768	LA4684	LA4684					BGV006768					BGV006768	BGV006768	TRUE	TRUE	lycopersicum	SLC	S. lycopersicum var. cerasiforme	14491	110	SRR10343552	68025567350	SLC ECU	ECU	Napo	Puerto Napo dirección NE;Napo	unknown	wild	-1.0349999999999999	-77.785833330000003	14.7125	6.611687353	2.1	2.4167222220000002	4.3	1.2445553069999999	34.318119230000001	5.8039215689999999	0.312871287	11.648	14.611320750000001	1.5598610000000001E-3	1.1120099999999999E-4
6	CW0112	LA4736		LA4736					BGV007876						BGV007876	TRUE	FALSE	lycopersicum							SLL	MEX	Yucatán	Mercado;Valladolid;Yucatán	Tomate indio	Valladolid market, Indian tomato	20.68333333	-88.216666669999995	63.05166667	7.962019884	7.7898567390000002	3.699692803	6.6	1.6270807119999999	27.922039640000001	3.603738318	0.42692307699999998	21.2	26.361904760000002	1.4740420000000001E-3	2.0596360000000001E-3
